provides,to supply or make available,V
secure,protected from danger or harm,ADJ
standard of living,the level of comfort and amount of money that people have,N
look after,to take care of someone or something,V
strict,tough; must be obeyed,ADJ
decent,good enough; satisfactory,ADJ
happy medium,a good choice or condition that avoids any extrems,N
traditional lifestyle,a way of living that is based on old customs,N
centenarians,a person who lives to be 100 years old or older,N
processed foods,food that has been altered from its natural state and that contains added chemicals,N
